SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
197,09.05,1849,300,177,14,37
197,11.05,9049,300,129,11,25
197,11.25,10249,300,54,4,18
197,18.25,20243,300,117,8,23
197,18.30,20543,300,72,4,22
197,19.05,22643,300,179,11,25
197,19.10,22943,300,96,4,20
197,20.25,27443,300,359,14,27
197,12.50,29015,300,198,12,36
197,13.15,30515,300,61,3,17
197,13.30,31415,300,211,14,26
197,14.30,35015,300,56,8,54
197,15.20,38015,300,168,10,29
197,16.00,40415,300,115,4,21
197,08.45,42137,300,83,8,33
197,09.15,43937,300,135,4,25
197,10.10,47237,300,67,6,22
197,11.30,52037,300,83,5,17
