Subject,AWC,hour
11003.0,-1,21.25
11003.0,-1,21.3
11003.0,-1,21.35
11003.0,-1,21.4
11003.0,-1,21.45
11003.0,-1,21.5
11003.0,-1,21.55
11003.0,-1,22
11003.0,-1,22.05
11003.0,-1,22.1
11003.0,-1,22.15
11003.0,-1,22.2
11003.0,-1,22.25
11003.0,-1,22.3
11003.0,-1,22.35
11003.0,-1,22.4
11003.0,-1,22.45
11003.0,-1,22.5
11003.0,-1,22.55
11003.0,-1,23
11003.0,-1,23.05
11003.0,-1,23.1
11003.0,-1,23.15
11003.0,-1,23.2
11003.0,-1,23.25
11003.0,-1,23.3
11003.0,-1,23.35
11003.0,-1,23.4
11003.0,-1,23.45
11003.0,-1,23.5
11003.0,-1,23.55
11009.0,877.0,10.35
11009.0,832.0,19.1
11009.0,757.0,7.55
11009.0,707.0,18
11009.0,677.0,19.05
11009.0,665.0,18.55
11009.0,660.0,19
11009.0,655.0,12.4
11009.0,613.0,8
11009.0,612.0,11.2
11009.0,578.0,7.5
11009.0,560.0,11.15
11009.0,555.0,8.5
11009.0,540.0,12.45
11009.0,487.0,15.35
11009.0,453.0,10.4
11009.0,451.0,13
11009.0,439.0,8.4
11009.0,419.0,9.55
11009.0,397.0,10.3
11009.0,394.0,16.35
11009.0,377.0,12.3
11009.0,375.0,18.35
11009.0,371.0,12.25
11009.0,365.0,17.55
11009.0,361.0,10
11009.0,359.0,18.5
11009.0,355.0,13.55
11009.0,354.0,18.05
11009.0,352.0,10.55
11009.0,351.0,11
11009.0,351.0,18.25
11009.0,346.0,11.1
11009.0,330.0,8.3
11009.0,325.0,8.45
11009.0,319.0,10.45
11009.0,309.0,12.2
11009.0,297.0,10.25
11009.0,289.0,11.4
11009.0,288.0,8.05
11009.0,282.0,11.5
11009.0,279.0,17.4
11009.0,270.0,11.05
11009.0,265.0,9.45
11009.0,263.0,8.55
11009.0,254.0,11.45
11009.0,249.0,9.5
11009.0,246.0,12.55
11009.0,242.0,14.15
11009.0,240.0,18.2
11009.0,239.0,14
11009.0,228.0,17.3
11009.0,226.0,13.05
11009.0,221.0,9
11009.0,221.0,10.5
11009.0,219.0,17.25
11009.0,216.0,17.45
11009.0,206.0,17.5
11009.0,202.0,16.15
11009.0,197.0,15.4
11009.0,197.0,16.3
11009.0,183.0,9.25
11009.0,177.0,12.05
11009.0,176.0,9.2
11009.0,176.0,11.25
11009.0,176.0,18.15
11009.0,176.0,18.3
11009.0,174.0,7.45
11009.0,169.0,9.3
11009.0,162.0,16.2
11009.0,161.0,11.55
11009.0,156.0,12.5
11009.0,153.0,9.15
11009.0,152.0,17.35
11009.0,146.0,8.25
11009.0,133.0,12
11009.0,131.0,8.35
11009.0,123.0,14.05
11009.0,122.0,16.25
11009.0,121.0,12.35
11009.0,111.0,9.05
11009.0,101.0,17.15
11009.0,97.0,8.1
11009.0,95.0,17
11009.0,91.0,9.1
11009.0,90.0,15.25
11009.0,87.0,9.4
11009.0,81.0,8.2
11009.0,81.0,18.1
11009.0,74.0,9.35
11009.0,64.0,18.45
11009.0,54.0,11.3
11009.0,51.0,16.1
11009.0,49.0,8.15
11009.0,47.0,11.35
11009.0,42.0,17.1
11009.0,41.0,16.05
11009.0,39.0,12.1
11009.0,37.0,14.1
11009.0,29.0,16.55
11009.0,28.0,17.2
11009.0,23.0,16
11009.0,22.0,12.15
