SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
12878,7.4,839,300,149,4,15
12878,8.5,5039,300,213,15,29
12878,9,5639,300,124,14,40
12878,9.35,7739,300,145,5,15
12878,9.55,8939,300,151,10,38
12878,10,9239,300,570,20,60
12878,10.05,9539,300,306,7,20
12878,10.1,9839,300,333,19,36
12878,10.2,10439,300,157,6,34
12878,10.4,11639,300,149,7,22
12878,10.45,11939,300,242,14,23
12878,10.55,12539,300,524,9,18
12878,11.1,13439,300,578,19,29
12878,11.15,13739,300,389,14,22
12878,11.2,14039,300,197,17,61
12878,11.25,14339,300,186,13,38
12878,13.3,21839,300,150,6,19
12878,13.45,22739,300,182,8,24
12878,13.5,23039,300,237,14,26
12878,13.55,23339,300,456,12,26
12878,14,23639,300,229,13,26
12878,14.05,23939,300,371,24,41
12878,14.1,24239,300,150,10,35
12878,14.15,24539,300,330,12,18
12878,14.55,26939,300,143,8,25
12878,15.2,28439,300,180,6,27
12878,15.5,30239,300,507,12,20
12878,16,30839,300,389,14,29
12878,16.15,31739,300,373,15,47
12878,16.2,32039,300,146,12,65
12878,16.25,32339,300,178,8,24
12878,16.55,34139,300,130,7,18
12878,17,34439,300,337,8,32
12878,18.05,38339,300,279,11,27
12878,18.25,39539,300,177,15,48
12878,18.35,40139,300,169,8,32
12878,18.4,40439,300,186,13,42
12878,19.3,43439,300,277,13,26
12878,19.35,43739,300,306,15,24
12878,19.4,44039,300,249,10,24
