SUBJECT,unclean_total_hrs,clean_total_hrs,unclean_mean_awc,unclean_sd_awc,unclean_mean_ctc,unclean_sd_ctc,unclean_mean_cvc,unclean_sd_cvc,clean_mean_awc,clean_sd_awc,clean_mean_ctc,clean_sd_ctc,clean_mean_cvc,clean_sd_cvc
187,15.263055555555557,15.2575,1758.8221376963254,1881.8029770527105,59.031430287367826,67.1201244867075,147.5458168780825,137.6751409821121,1755.2679010322793,1884.0047770640074,59.05292479108635,67.1201244867075,147.59954120924135,137.6751409821121
188,8.191666666666666,7.990555555555556,1473.204476093591,639.1021132112701,46.876907426246184,24.17160869008653,157.2329603255341,79.23214835742708,1504.4010289925607,642.1362697191998,47.681290412292284,24.537726056014236,159.68852117082668,80.78531219638052
189,15,10.747222222222222,870.9333333333333,700.3886132168409,28.6,22.49698392483503,139.6,95.79501925614773,1194.6342724218146,703.6588526781859,38.89377100025847,23.024417680449805,185.90850348927373,98.36608010023431
190,9.81,9.639722222222222,1440.366972477064,863.426635884923,50.866462793068294,29.879201238765848,215.80020387359835,139.45293909495857,1461.1416880384982,862.3329145727627,51.76497709131775,29.879201238765848,218.5747629887906,137.91627895212372
192,12.010833333333334,11.758055555555556,1629.5288975230694,787.6387035136905,71.51876777908832,39.81652999202794,271.83792409630195,113.8016283102338,1646.5307472418435,779.9785933348467,72.80115287391622,39.96665276619163,277.2567270665501,114.15008727216298
193,15.991388888888888,14.099722222222223,308.8537233580573,340.1610469744998,12.756865674234398,12.584261454834621,118.00100748666817,74.29930257839817,346.531649559684,344.2453758409527,14.255599992119624,12.73595483089295,125.46346460726176,70.92051675622292
196,16.000555555555554,14.265833333333333,1283.3304399152807,1110.8185370357403,41.936043887365024,37.122769293251814,130.18297975764733,121.06476687202506,1423.6812897949646,1131.3678054068496,45.773701734914425,39.064192185569524,143.13920205619488,125.46695005281492
197,16,15.083333333333334,544.6875,299.8131469380939,25.8125,13.736531865514952,163.6875,113.72673050241632,577.7900552486187,299.8131469380939,27.38121546961326,13.736531865514952,167.00552486187846,104.04098058469864
202,13.366111111111111,10.949444444444444,558.8012801862089,490.7138507657323,14.514318965875555,16.224747278229767,67.33446942931958,72.96200754813799,657.7502663757674,488.47198362636806,17.4438073976356,16.21704116793271,76.80754985032219,73.85668965002836
203,6.5024999999999995,6.5024999999999995,1560.169165705498,548.4139306087276,92.11841599384853,44.52106243116847,305.8823529411765,119.30385875689736,1560.169165705498,548.4139306087276,92.11841599384853,44.52106243116847,305.8823529411765,119.30385875689736
