SUBJECT,uncleaned_lena_dur,cleaned_lena_dur,awc_perhr_cleaned,ctc_perhr_cleaned,cvc_perhr_cleaned
187,16,15.2575,1755.2679010322793,59.05292479108635,147.59954120924135
188,8.191666666666666,7.990555555555556,1504.4010289925607,47.681290412292284,159.68852117082668
189,16,10.747222222222222,1194.6342724218146,38.89377100025847,185.90850348927373
190,9.81,9.639722222222222,1461.1416880384982,51.76497709131775,218.5747629887906
192,12.010833333333334,11.758055555555556,1646.5307472418435,72.80115287391622,277.2567270665501
193,15.996666666666666,14.099722222222223,346.531649559684,14.255599992119624,125.46346460726176
196,16.000555555555554,14.265833333333333,1423.6812897949646,45.773701734914425,143.13920205619488
197,16,15.083333333333334,577.7900552486187,27.38121546961326,167.00552486187846
202,14.366111111111111,10.949444444444444,657.7502663757674,17.4438073976356,76.80754985032219
203,6.5025,6.5025,1560.1691657054978,92.11841599384852,305.88235294117646
210,12.828055555555556,10.75,1563.2558139534883,102.32558139534883,436.1860465116279
215,6.001111111111111,5.584444444444444,496.91603660962994,26.144050935137287,208.97333863907681
230,10.220833333333333,6.878888888888889,1028.2183815215635,35.03472783072202,160.054918429979
231,11.511944444444444,9.759722222222223,1889.7054219439303,91.6009676960296,259.9459228689341
232,13.388333333333334,9.708333333333334,1007.6909871244635,40.99570815450644,144.51502145922746
241,6.726111111111111,4.305833333333333,914.5732533384943,12.773369460034838,40.17805302883685
248,7.194444444444445,5.194444444444445,1149.6898395721926,63.52941176470588,346.524064171123
259,9.025833333333333,7.974444444444444,758.5481398913196,33.98355858994009,193.49310296781385
260,12.726666666666667,7.982777777777778,499.82601433641867,28.68675621128819,151.95211914538243
261,10.401944444444444,6.543333333333333,790.4228222109017,57.463066734589916,299.69434538970967
266,13.924722222222222,11.166666666666666,1301.6417910447763,53.19402985074627,173.37313432835822
272,12.331666666666667,9.165,1453.9007092198583,30.660120021822152,112.27495908346974
277,7.060277777777777,6.393611111111111,1146.9261849937002,29.56075943867576,144.3628622322631
279,10.450555555555555,7.533888888888889,1472.5462723987907,26.54671484403805,124.10589189587789
282,10.242222222222223,7.325555555555556,780.1456089792204,18.42863643258001,70.57485211588047
283,16,9.228055555555555,1502.5917341440656,38.57800788657777,112.91652870172483
300,10.026111111111112,9.924166666666666,1338.0468553195062,66.50432446049207,227.12234444537745
302,4.986944444444444,4.820277777777778,1633.1009047426958,60.36996484757678,168.0401083386158
304,7.463611111111111,6.713611111111111,1898.9780297074767,107.98957342049734,321.1386486821962
308,11.588333333333333,7.972222222222222,1464.2090592334494,49.170731707317074,159.42857142857142
309,6.934444444444445,5.469166666666666,679.0796891665398,44.065214078927326,216.48636294377573
310,14.731111111111112,11.647777777777778,1523.0372984832586,42.58322999141467,121.65410664886006
311,10.762777777777778,9.096111111111112,1898.283759848531,58.81634398094423,151.05356379405117
312,5.273611111111111,4.717777777777778,953.8389072067828,43.876589731512006,151.3424399434762
313,7.893888888888889,7.310555555555555,3192.2334523899995,64.42738809939965,156.34926666160044
320,8.03888888888889,5.038888888888889,583.2635060639471,22.42557883131202,135.14884233737598
330,4.600555555555555,4.600555555555555,1060.524091293322,58.905929235599565,217.5824175824176
332,7.006388888888889,4.878333333333333,885.7533310556885,38.74274000683294,210.72770755039292
334,10.276666666666667,10.272777777777778,1423.8602563409227,38.548483045806066,127.22946298199123
335,10.903611111111111,10.235,1928.0898876404494,82.46213971665853,250.12212994626285
336,7.451388888888889,5.699166666666667,933.4698055271239,25.968708875566602,117.38558268752742
338,11.222222222222221,10.385833333333334,1518.5107919441546,91.95217844820668,351.24769317178846
421,8.73,5.8966666666666665,1576.9926512153759,50.87620124364047,175.52289429055963
425,8.245,4.908888888888889,2452.286102308737,83.31824354911724,182.11860570393844
426,7.980833333333333,5.985833333333333,1117.3047473200613,38.25699568425449,153.52916608659336
427,7.006388888888889,5.839722222222222,2970.518004090758,105.14198734719118,274.67059886790656
431,10.232222222222223,7.065555555555555,2541.767573517849,91.99559679194843,176.63154584054098
433,9.76388888888889,7,998,45.57142857142857,141.14285714285714
435,7.1925,5.758611111111111,1218.5229849018378,50.3593652018716,266.3836766195553
436,8.080833333333333,3.6641666666666666,701.1143961792131,39.845349101660226,143.00659540595862
439,10.780555555555555,10.402222222222223,1391.1450544755394,58.35291604358043,246.87032685323646
440,4.424444444444444,4.416666666666667,1406.4905660377358,59.32075471698113,227.09433962264148
