SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
13142,7.1,2061,300,230,12,58
13142,7.15,2361,300,211,14,42
13142,7.3,3261,300,536,22,39
13142,7.35,3561,300,456,20,32
13142,7.4,3861,300,217,14,36
13142,7.45,4161,300,170,11,41
13142,7.55,4761,300,173,9,31
13142,8.4,7461,300,294,23,50
13142,9.35,10761,300,250,10,34
13142,9.4,11061,300,288,19,42
13142,9.5,11661,300,237,13,33
13142,11.45,18561,300,196,13,54
13142,11.55,19161,300,255,16,36
13142,12,19461,300,238,16,47
13142,12.05,19761,300,252,18,53
13142,15.15,31161,300,250,12,31
13142,16.2,35061,300,203,14,70
