SUBJECT,AWC,hour
187.0,-1,11.1
187.0,-1,11.15
187.0,-1,11.2
187.0,-1,11.25
187.0,-1,11.3
187.0,-1,11.35
187.0,-1,11.4
187.0,-1,11.45
187.0,-1,11.5
187.0,-1,11.55
187.0,-1,20.2
187.0,-1,20.25
187.0,-1,20.3
187.0,-1,20.35
187.0,-1,20.4
187.0,-1,20.45
187.0,-1,20.5
187.0,-1,20.55
187.0,-1,21
187.0,-1,21.05
187.0,-1,22.05
187.0,-1,22.1
187.0,-1,22.15
187.0,-1,22.2
187.0,-1,22.25
187.0,-1,22.3
187.0,-1,22.35
187.0,-1,22.4
187.0,-1,22.45
187.0,-1,22.5
187.0,-1,22.55
187.0,-1,23
187.0,-1,23.05
187.0,-1,23.1
187.0,-1,23.15
187.0,-1,23.2
187.0,-1,23.25
187.0,-1,23.3
187.0,-1,23.35
187.0,-1,23.4
187.0,-1,23.45
187.0,-1,23.5
187.0,-1,23.55
188.0,523.0,21.15
188.0,443.0,21.25
188.0,404.0,11.4
188.0,401.0,13.05
188.0,388.0,22.15
188.0,378.0,11.5
188.0,376.0,21.2
188.0,375.0,12.4
188.0,372.0,22.2
188.0,345.0,21.3
188.0,320.0,22.3
188.0,309.0,21
188.0,299.0,11.45
188.0,297.0,13
188.0,277.0,13.15
188.0,276.0,11.35
188.0,252.0,10.15
188.0,236.0,20.5
188.0,227.0,11.3
188.0,226.0,13.1
188.0,222.0,20.45
188.0,214.0,22.25
188.0,203.0,20.4
188.0,191.0,10.1
188.0,190.0,19.15
188.0,182.0,22.35
188.0,180.0,12.5
188.0,176.0,10
188.0,175.0,9.45
188.0,175.0,10.05
188.0,162.0,20.55
188.0,144.0,19.55
188.0,125.0,21.4
188.0,114.0,12.45
188.0,113.0,9.5
188.0,110.0,20.3
188.0,107.0,18.55
188.0,106.0,12.35
188.0,103.0,11.25
188.0,103.0,19.1
188.0,101.0,19.05
188.0,86.0,12.55
188.0,84.0,10.55
188.0,83.0,12.25
188.0,82.0,20.35
188.0,73.0,19.35
188.0,72.0,9.4
188.0,71.0,12.3
188.0,68.0,20.25
188.0,64.0,20
188.0,62.0,12.15
188.0,58.0,21.05
188.0,57.0,10.4
188.0,55.0,10.25
188.0,54.0,11.55
188.0,53.0,11.1
188.0,53.0,18.25
188.0,52.0,18.45
188.0,51.0,21.1
188.0,51.0,22.05
188.0,50.0,22
188.0,49.0,12.1
188.0,46.0,11.2
188.0,44.0,12.2
188.0,40.0,19.5
188.0,38.0,12
188.0,36.0,21.35
188.0,35.0,10.35
188.0,33.0,19
188.0,31.0,19.4
188.0,31.0,21.45
188.0,29.0,19.2
188.0,29.0,21.5
188.0,28.0,11.05
188.0,28.0,18.2
188.0,27.0,11.15
188.0,27.0,21.55
188.0,26.0,10.5
188.0,26.0,11
188.0,23.0,10.2
188.0,23.0,22.1
188.0,21.0,18.5
188.0,21.0,19.45
188.0,19.0,20.2
188.0,14.0,20.05
188.0,13.0,12.05
188.0,13.0,18.4
188.0,11.0,10.45
188.0,11.0,19.3
188.0,10.0,20.1
188.0,7.0,9.55
188.0,6.0,20.15
188.0,5.0,18.35
188.0,1.0,22.4
188.0,0.0,10.3
188.0,0.0,18.3
188.0,0.0,19.25
188.0,-1,0
188.0,-1,0.05
188.0,-1,0.1
188.0,-1,0.15000000000000002
188.0,-1,0.2
188.0,-1,0.25
188.0,-1,0.30000000000000004
188.0,-1,0.35000000000000003
188.0,-1,0.4
188.0,-1,0.45
188.0,-1,0.5
188.0,-1,0.55
188.0,-1,1
188.0,-1,1.05
188.0,-1,1.1
188.0,-1,1.15
188.0,-1,1.2
188.0,-1,1.25
188.0,-1,1.3
188.0,-1,1.35
188.0,-1,1.4
188.0,-1,1.45
188.0,-1,1.5
188.0,-1,1.55
188.0,-1,2
188.0,-1,2.05
188.0,-1,2.1
188.0,-1,2.15
188.0,-1,2.2
188.0,-1,2.25
188.0,-1,2.3
188.0,-1,2.35
188.0,-1,2.4
188.0,-1,2.45
188.0,-1,2.5
188.0,-1,2.55
188.0,-1,3
188.0,-1,3.05
188.0,-1,3.1
188.0,-1,3.15
188.0,-1,3.2
188.0,-1,3.25
188.0,-1,3.3
188.0,-1,3.35
188.0,-1,3.4
188.0,-1,3.45
188.0,-1,3.5
188.0,-1,3.55
188.0,-1,4
188.0,-1,4.05
188.0,-1,4.1
188.0,-1,4.15
188.0,-1,4.2
188.0,-1,4.25
188.0,-1,4.3
188.0,-1,4.35
188.0,-1,4.4
188.0,-1,4.45
188.0,-1,4.5
188.0,-1,4.55
188.0,-1,5
188.0,-1,5.05
188.0,-1,5.1
188.0,-1,5.15
188.0,-1,5.2
188.0,-1,5.25
188.0,-1,5.3
188.0,-1,5.35
188.0,-1,5.4
188.0,-1,5.45
188.0,-1,5.5
188.0,-1,5.55
188.0,-1,6
188.0,-1,6.05
188.0,-1,6.1
188.0,-1,6.15
188.0,-1,6.2
188.0,-1,6.25
188.0,-1,6.3
188.0,-1,6.35
188.0,-1,6.4
188.0,-1,6.45
188.0,-1,6.5
188.0,-1,6.55
188.0,-1,7
188.0,-1,7.05
