SUBJECT,prop,hour
421.0,0.968,11
421.0,0.503,10
421.0,0.615,12
421.0,0.636,17
421.0,0.463,16
421.0,1.0,13
421.0,0.947,14
421.0,0.022,9
424.0,0.9,14
424.0,0.556,12
424.0,0.838,22
424.0,0.92,15
424.0,0.853,18
424.0,0.81,19
424.0,0.709,11
424.0,0.611,13
424.0,0.206,23
425.0,0.928,12
425.0,0.724,11
425.0,0.973,15
425.0,0.437,10
425.0,0.805,13
426.0,0.54,19
426.0,0.926,16
426.0,0.915,13
426.0,0.802,18
426.0,0.783,8
426.0,0.686,9
426.0,0.901,14
427.0,0.597,8
427.0,0.953,13
427.0,0.775,14
427.0,0.818,9
427.0,0.898,11
427.0,0.944,10
427.0,0.29,12
431.0,0.935,17
431.0,0.467,10
431.0,0.923,9
431.0,0.967,11
431.0,0.87,18
431.0,0.888,19
431.0,0.909,13
431.0,0.024,12
431.0,0.233,16
433.0,0.473,10
433.0,0.792,9
433.0,0.777,11
433.0,0.874,17
433.0,0.892,12
433.0,0.612,16
433.0,0.807,13
433.0,0.92,14
435.0,0.975,10
435.0,0.893,13
435.0,0.992,15
435.0,0.36,12
435.0,0.724,11
435.0,0.472,16
435.0,0.27,9
435.0,0.695,17
436.0,0.785,12
436.0,0.876,8
436.0,0.662,11
436.0,0.968,15
436.0,0.971,9
436.0,0.356,16
436.0,0.916,13
439.0,0.714,16
439.0,0.808,15
439.0,0.899,9
439.0,0.958,11
439.0,0.879,17
439.0,0.925,18
439.0,0.718,8
439.0,0.721,19
439.0,0.808,10
439.0,0.126,7
440.0,0.994,13
440.0,0.599,12
440.0,0.437,11
440.0,0.254,14
440.0,0.392,10
444.0,0.551,17
444.0,0.577,16
444.0,0.332,18
444.0,0.2,20
445.0,0.643,18
445.0,0.885,16
445.0,0.983,13
445.0,0.892,19
445.0,0.914,12
445.0,0.718,17
445.0,0.547,14
445.0,0.849,15
451.0,0.608,10
451.0,0.973,11
451.0,0.32,12
451.0,0.976,9
451.0,0.959,14
451.0,0.79,13
451.0,0.899,8
451.0,0.424,15
451.0,0.867,17
451.0,0.98,20
451.0,0.514,19
451.0,0.433,21
460.0,0.885,7
460.0,0.862,14
460.0,0.8,9
460.0,0.868,18
460.0,0.98,16
460.0,0.951,10
460.0,0.585,8
460.0,0.857,15
460.0,0.706,17
460.0,0.591,19
460.0,0.455,11
460.0,0.161,6
461.0,0.981,12
461.0,0.947,17
461.0,0.903,18
461.0,0.765,13
461.0,0.977,16
461.0,0.919,11
461.0,0.937,15
461.0,0.993,14
464.0,0.363,12
464.0,0.876,13
464.0,0.832,15
464.0,0.51,14
464.0,0.384,18
465.0,0.947,9
465.0,0.969,8
465.0,0.518,15
465.0,0.946,13
465.0,0.845,10
465.0,0.847,11
465.0,0.989,16
470.0,0.563,10
470.0,0.918,19
470.0,0.939,15
470.0,0.913,11
470.0,0.953,9
470.0,0.971,18
470.0,0.937,16
470.0,0.972,14
470.0,0.645,17
470.0,0.662,8
470.0,0.881,12
470.0,0.795,20
470.0,0.319,13
471.0,0.687,15
471.0,0.958,12
471.0,0.97,9
471.0,0.739,19
471.0,0.944,11
471.0,0.845,13
471.0,0.802,8
471.0,0.959,16
471.0,0.773,7
471.0,0.87,18
471.0,0.811,17
471.0,0.52,20
471.0,0.258,14
474.0,0.75,13
474.0,0.782,16
474.0,0.901,20
474.0,0.532,19
474.0,0.902,14
474.0,0.702,15
474.0,0.373,18
475.0,0.714,19
475.0,0.901,10
475.0,0.931,18
475.0,0.981,7
475.0,0.928,17
475.0,0.753,13
475.0,0.986,16
475.0,0.991,9
475.0,0.787,14
475.0,0.969,12
475.0,0.852,15
475.0,0.746,8
475.0,0.03,11
476.0,0.568,13
476.0,0.907,17
476.0,0.908,18
476.0,0.688,8
476.0,0.914,16
476.0,0.93,11
476.0,0.655,10
476.0,0.564,9
476.0,0.517,15
476.0,0.966,19
476.0,0.807,14
477.0,0.455,13
477.0,0.797,20
477.0,0.824,18
477.0,0.96,21
477.0,0.853,19
477.0,0.973,12
477.0,0.925,10
477.0,0.551,9
477.0,0.74,7
477.0,0.997,14
477.0,0.933,6
477.0,0.679,11
477.0,0.463,17
477.0,0.257,8
477.0,0.961,16
481.0,0.872,17
481.0,0.922,15
481.0,0.891,10
481.0,0.912,13
481.0,0.936,9
481.0,0.946,18
481.0,0.781,16
481.0,0.97,14
481.0,0.626,12
481.0,0.893,11
485.0,0.824,18
485.0,0.87,10
485.0,0.858,21
485.0,0.861,17
485.0,0.647,16
485.0,0.981,15
485.0,0.991,20
485.0,0.899,8
485.0,0.906,9
485.0,0.916,19
485.0,0.413,11
485.0,0.745,12
485.0,0.196,22
485.0,0.22,14
488.0,0.599,9
488.0,0.792,10
488.0,0.632,14
488.0,0.52,11
488.0,0.688,16
488.0,0.41,17
488.0,0.179,15
492.0,0.983,21
492.0,0.99,12
492.0,0.801,19
492.0,0.878,13
492.0,0.798,14
492.0,0.919,20
492.0,0.673,17
492.0,0.94,18
492.0,0.598,15
492.0,0.656,11
492.0,0.071,10
500.0,0.972,15
500.0,0.895,10
500.0,0.603,12
500.0,0.873,14
500.0,0.929,16
500.0,0.6,13
500.0,0.575,9
501.0,0.957,9
501.0,0.999,7
501.0,0.963,11
501.0,0.938,10
501.0,0.894,20
501.0,0.866,8
501.0,0.855,18
501.0,0.963,17
501.0,0.931,14
501.0,0.903,15
501.0,0.845,19
501.0,0.929,12
501.0,0.888,16
503.0,0.768,16
503.0,0.956,12
503.0,0.941,17
503.0,0.701,18
503.0,0.748,20
503.0,0.978,13
503.0,0.743,19
503.0,0.862,11
503.0,0.853,21
503.0,0.104,14
512.0,0.918,16
512.0,0.808,15
512.0,0.976,17
512.0,0.999,10
512.0,0.747,12
512.0,0.939,18
512.0,0.921,11
512.0,0.9,19
512.0,0.076,13
513.0,0.907,21
513.0,0.763,20
513.0,0.988,15
513.0,0.865,23
513.0,0.992,22
513.0,0.62,13
513.0,0.888,16
513.0,0.919,19
513.0,0.252,14
513.0,0.056,0
528.0,0.407,19
528.0,0.986,20
528.0,0.964,8
528.0,0.684,21
528.0,0.899,9
528.0,0.804,15
528.0,0.764,14
528.0,0.912,22
528.0,0.981,12
528.0,0.658,13
528.0,0.835,10
528.0,0.832,7
528.0,0.047,11
528.0,0.125,17
