SUBJECT,gini
13604,0.7085783077781497
13151,0.7201739211163874
11743,0.4789322485893032
911429,0.44534107699511305
12878,0.6546476126349388
12409,0.6289207473284981
11327,0.560280234070148
12828,0.5608680652648894
11035,0.4579286041309828
911343,0.7196911447867781
13191,0.5481955945992262
12683,0.5683096733211138
13648,0.687787937199752
13131,0.723438276066841
11655,0.7225072206700567
11014,0.6980988469011457
12547,0.6331108764321131
12840,0.7048340824196977
12417,0.6782154631070209
12608,0.6208094580178048
11611,0.6845698560721947
12959,0.6149965042454683
13061,0.5586740375417818
13142,0.5776543978516425
12737,0.8187674044138381
13326,0.7411353580795311
11417,0.6151339715016597
11141,0.5964126868377834
11037,0.5163260435615962
11011,0.675440539421605
12095,0.6793878467919441
13128,0.5273995998133172
13628,0.7922298867291846
12520,0.658118035165703
13069,0.6190185316408849
11003,0.583857178310633
12390,0.6791950118243492
12612,0.6507500190694109
11200,0.7214536174964717
12717,0.6543032923382018
11070,0.5609408938673736
12398,0.6647253147091885
13293,0.7145318050236754
13044,0.6818400303150974
13503,0.6665339979717488
12830,0.6601240021141082
12971,0.735591786014879
13081,0.6730489413873614
13079,0.6699905227100745
11036,0.6441047978550238
12297,0.5746753086892721
11136,0.6957381165977179
11009,0.605976476619125
911401,0.6752251517221406
13304,0.7450758607103981
12316,0.6100481019607367
