SUBJECT,nclusters,avgClustersize,minClusterAWC,maxClusterAWC,avgClusterDensity,unclean_mean_awc,unclean_total_hrs,clean_mean_awc,clean_sd_awc,clean_total_hrs,clusterPerHr,avgClusterDensityPerHr,CDI_18C18C_WG,ACC_1818,RT18A18C_NO1RT,gini
11003,7,1.4285714285714286,240,990,472,2154.79857522701,11.07388888888889,2235.3854975759787,789.9583562096515,10.657222222222222,0.6568315696189334,44.289214408590944,62,0.47,830.93,0.583857178310633
11009,6,1.5,451,1399,781.1666666666666,2557.0706946258288,11.273055555555555,3044.411826378696,1069.9497292288656,9.273055555555555,0.6470359164844383,84.24048168229339,139,0.68,586.91,0.605976476619125
11011,5,1.6,145,758,324.6,1301.4203823454664,9.836944444444445,1334.295652173913,765.4171886803123,9.583333333333334,0.5217391304347826,33.87130434782609,32,0.51,883.3,0.675440539421605
11014,8,1.375,177,814,388.625,1695.6799149275557,8.358888888888888,1788.0390216315566,818.6066654549502,7.858888888888889,1.0179556058249681,49.450374664216035,94,0.71,832.07,0.6980988469011457
11035,11,1.2727272727272727,294,809,475.72727272727275,2408.499460575074,11.84388888888889,2460.2616320858688,960.9240211166408,11.59388888888889,0.9487756960084335,41.032588572001096,84,0.75,822.13,0.4579286041309828
11036,5,1.6,197,712,387,1921.6842105263158,9.5,1973.4054054054054,1134.1038192014312,9.25,0.5405405405405406,41.83783783783784,291,0.73,797.57,0.6441047978550238
11037,3,2,322,1015,726.6666666666666,2352.9852955689335,11.258888888888889,2422.992366412214,1061.8470293014732,10.916666666666666,0.2748091603053435,66.56488549618321,76,0.77,688.04,0.5163260435615962
11070,8,1.375,260,803,499.375,2193.0646672914713,11.559166666666666,2273.5472290778553,1221.2593489656067,11.1425,0.7179717298631366,44.817141575050485,60,0.74,447.17,0.5609408938673736
11136,15,1.2,226,875,381.8,2004.7417128354327,8.974722222222223,2098.958096660067,1179.1233614491537,8.558055555555555,1.7527345905417249,44.61293777792204,28,0.7,692.83,0.6957381165977179
11141,11,1.2727272727272727,125,505,257.72727272727275,1184.7613684358723,9.865277777777777,1225.6680751857787,355.3858338610178,9.531944444444445,1.1540142794696195,27.038268448730346,70,0.72,632.28,0.5964126868377834
11200,4,1.75,72,311,142.25,378.6708432705656,7.803611111111111,434.3542061428634,184.16647058813092,6.3036111111111115,0.6345569118230291,22.566430176706472,10,0.55,905.15,0.7214536174964717
11327,17,1.1764705882352942,181,628,307.7647058823529,1377.4762550881953,10.850277777777778,1464.3135757344319,652.6434824247578,10.18361111111111,1.669348899375358,30.221569001840393,28,0.49,983.35,0.560280234070148
11417,5,1.6,244,867,564.8,1910.1423644884605,12.565555555555555,2146.4022324098064,1448.2326857545759,11.148888888888889,0.44847518437313133,50.659756826788914,15,0.73,636.13,0.6151339715016597
11611,19,1.1578947368421053,126,1099,317.89473684210526,1324.682259365353,9.988055555555556,1357.355164446473,845.5600833444389,9.738055555555555,1.9511081952249196,32.64458033007899,31,0.63,742.56,0.6845698560721947
11655,17,1.1764705882352942,171,1170,327.94117647058823,1676.1375066564108,9.389444444444445,1721.986505379612,933.8340810385381,9.139444444444445,1.8600692966992887,35.8819596162579,148,0.7,666.74,0.7225072206700567
11743,13,1.2307692307692308,179,689,334.3076923076923,1673.3629774014742,9.120555555555555,1597.826511355502,509.32143310705294,8.537222222222223,1.5227435413548511,39.1588368682141,8,0.7,775.79,0.4789322485893032
12095,5,1.6,136,503,328.2,1002.3101845330328,7.887777777777778,1124.9172963038595,632.1600447847223,6.801388888888889,0.7351439656932816,48.254849908107005,22,0.51,723.86,0.6793878467919441
12297,13,1.2307692307692308,127,777,273.6923076923077,1101.206757843926,12.43,1235.865624748248,425.6860224902736,10.344166666666666,1.256746958833481,26.458613488340387,40,0.7,625.13,0.5746753086892721
12316,11,1.2727272727272727,209,916,410.90909090909093,1964.5207898539093,10.381666666666666,2078.1085218574585,862.3865230576804,9.798333333333334,1.122639904745705,41.93663115248419,148,0.75,637.19,0.6100481019607367
12390,17,1.1764705882352942,189,1287,443.5882352941176,1964.0419525853167,12.10361111111111,2077.3235294117644,1250.0951106672987,11.333333333333334,1.5,39.140138408304495,5,0.65,818.32,0.6791950118243492
12398,8,1.375,196,775,385.25,1593.6981358989779,11.54861111111111,1653.3499688084842,1066.898476413927,11.131944444444445,0.7186525265127885,34.60761072988147,102,0.5,869.5,0.6647253147091885
12409,5,1.6,176,425,311,1278.3783783783783,11.1,1378.6138613861388,515.8203234272629,10.1,0.49504950495049505,30.792079207920793,127,0.76,753.3,0.6289207473284981
12417,12,1.25,161,487,279,1285.5009013649242,9.7075,1361.7638850125593,340.6797483107719,8.9575,1.339659503209601,31.14708344962322,4,0.7,631.7,0.6782154631070209
12520,11,1.2727272727272727,255,770,414.09090909090907,2306.4902026106183,9.171944444444444,2371.1198978797597,953.8443078597071,8.921944444444444,1.2329150969830942,46.41263030378507,100,0.68,497.81,0.658118035165703
12547,9,1.3333333333333333,271,1060,479.55555555555554,2173.548287723982,10.820555555555556,2260.052753404748,1118.7851467307987,10.320555555555556,0.8720460784841471,46.466060181945416,88,0.68,736.39,0.6331108764321131
12608,13,1.2307692307692308,184,890,363,1490.2711038598216,12.428611111111111,1597.992423328427,792.7677902329087,11.511944444444444,1.1292618777598147,31.5324662789856,195,0.66,519,0.6208094580178048
