SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
12717,9.5,4438,300,109,3,12
12717,9.55,4738,300,242,12,20
12717,10,5038,300,123,7,32
12717,10.3,6838,300,99,5,13
12717,10.45,7738,300,98,9,41
12717,10.55,8338,300,104,7,44
12717,11,8638,300,186,15,29
12717,11.05,8938,300,250,7,18
12717,11.1,9238,300,133,4,17
12717,11.2,9838,300,121,5,21
12717,11.25,10138,300,260,5,12
12717,11.4,11038,300,257,6,14
12717,14,19438,300,144,3,12
12717,16.2,27838,300,149,11,24
12717,16.35,28738,300,148,5,16
12717,17.1,30838,300,132,10,37
12717,17.15,31138,300,163,10,23
12717,17.25,31738,300,134,3,14
12717,17.3,32038,300,97,6,35
12717,17.35,32338,300,209,16,38
12717,17.45,32938,300,148,12,34
12717,17.5,33238,300,187,6,36
12717,17.55,33538,300,126,8,38
12717,18.1,34438,300,198,10,29
12717,18.15,34738,300,213,4,13
12717,18.2,35038,300,96,6,16
