SUBJECT,gini
11141,0.20381526049848658
13142,0.13429364856634948
12971,0.41757000807861416
12390,0.41131984522339904
11611,0.2947999035487517
12398,0.2057538781777862
12717,0.11551155077388925
12316,0.15585274270067828
13151,0.2664362774559187
12608,0.21891377507498463
11035,0.1533207017896758
13128,0.09948114822294785
11136,0.09008408221211353
13304,0.24453376156645146
13293,0.11930318100053758
12612,0.15353763199735077
12520,0.1036190298354401
911429,0.1087854487631809
12297,0.31491585278448947
12683,0.17739273900371755
13604,0.2563609455320192
11037,0.04208754201668764
11036,0.09936908494959647
13044,0.2156667232627191
12547,0.16666666640529706
12878,0.2549667284060437
13131,0.1774193538371488
11200,0.11259411292720946
12828,0.14158427902949006
911401,0.24547604913793594
911343,0.20266703010231082
12409,0.07651821842986282
13326,0.3126864765886381
13191,0.12384540570331039
13503,0.11701081592451429
13648,0.2870635528674382
12095,0.17970264972169167
13079,0.15675029838239488
11417,0.13205128178040762
11003,0.14964538979801245
13081,0.13752087398353458
11011,0.18587962909178346
13061,0.09098654698727905
13628,0.0992307689254438
12959,0.17342271765570086
12417,0.18342795305464946
13069,0.2335951129284574
11009,0.1368131866816357
11655,0.2285843503469311
12840,0.17191811228980972
11743,0.20490354621633633
12737,0.21238854071115598
11014,0.13419563438286877
11070,0.13830162064046608
11327,0.12036285840040638
12830,0.11778115480039904
