SUBJECT,gini
196,0.23692373657535767
334,0.26475979288059803
241,0.0924764887383182
230,0.08348402629555264
248,0.03307086603323207
190,0.1188294935329863
231,0.1967085372803884
332,0.16395884065106153
197,0.48053763878412536
320,0.6280239765248948
335,0.17104938237817405
188,0.16297348457068908
338,0.1605412205636031
330,0.17361585728123868
192,0.17025218952117244
187,0.15228010402067507
232,0.2033057845260087
193,0.34458259141430236
336,0.3022421516192765
189,0.2522091836727168
259,0.2532811258495182
302,0.13585823460210236
439,0.24596037604044527
431,0.11710385426434276
440,0.2728337230144409
310,0.1526919679564131
277,0.24848244074392942
436,0.05407124654416669
304,0.12857905675953005
311,0.0793650792444637
425,0.13666112016547263
279,0.5094690453158075
215,0.3684523795816504
309,0.13732503834632565
427,0.09790590145698379
266,0.19642857093913138
202,0.17838196203175977
283,0.1930497438506209
435,0.04584527210778237
261,0.21347128324289366
313,0.09302908707516731
210,0.08278867084359769
260,0.3693918421918485
312,0.08729553286786143
282,0.1369435985026265
421,0.08904109568712078
272,0.34413885971783037
300,0.2021021519306525
203,0.12508587130856794
308,0.23002715004126476
433,0.18348583838020516
426,0.1258615213707266
