Subject,AWC,hour
187.0,-1,20.25
187.0,-1,20.3
187.0,-1,20.35
187.0,-1,20.4
187.0,-1,20.45
187.0,-1,20.5
187.0,-1,20.55
187.0,-1,21
187.0,-1,21.05
187.0,-1,21.1
187.0,-1,21.15
187.0,-1,21.2
187.0,-1,21.25
187.0,-1,21.3
187.0,-1,21.35
187.0,-1,21.4
187.0,-1,21.45
187.0,-1,21.5
187.0,-1,21.55
187.0,-1,22
187.0,-1,22.05
187.0,-1,22.1
187.0,-1,22.15
187.0,-1,22.2
187.0,-1,22.25
187.0,-1,22.3
187.0,-1,22.35
187.0,-1,22.4
187.0,-1,22.45
187.0,-1,22.5
187.0,-1,22.55
187.0,-1,23
187.0,-1,23.05
187.0,-1,23.1
187.0,-1,23.15
187.0,-1,23.2
187.0,-1,23.25
187.0,-1,23.3
187.0,-1,23.35
187.0,-1,23.4
187.0,-1,23.45
187.0,-1,23.5
187.0,-1,23.55
188.0,88.6,21.25
188.0,87.4736842105263,13.15
188.0,80.8,11.4
188.0,80.2,13.05
188.0,75.6,11.5
188.0,75.2,21.2
188.0,69.0,21.3
188.0,59.8,11.45
188.0,59.4,13
188.0,50.4,10.15
188.0,45.2,13.1
188.0,38.2,10.1
188.0,36.4,22.35
188.0,35.2,10
188.0,35.0,9.45
188.0,35.0,10.05
188.0,32.4,20.55
188.0,25.0,21.4
188.0,21.4,18.55
188.0,20.6,11.25
188.0,20.6,19.1
188.0,20.2,19.05
188.0,17.8512396694215,9.4
188.0,17.2,12.55
188.0,16.8,10.55
188.0,12.4,12.15
188.0,11.4,10.4
188.0,11.0,10.25
188.0,10.8,11.55
188.0,10.6,18.25
188.0,10.2,21.1
188.0,10.2,22.05
188.0,9.8,12.1
188.0,9.2,11.2
188.0,8.8,12.2
188.0,7.6,12
188.0,7.2,21.35
188.0,7.0,10.35
188.0,6.6,19
188.0,5.8,21.5
188.0,5.6,11.05
188.0,5.4,21.55
188.0,5.2,10.5
188.0,5.2,11
188.0,4.6,10.2
188.0,4.6,22.1
188.0,4.2,18.5
188.0,3.8,20.2
188.0,2.8,20.05
188.0,2.6,18.4
188.0,2.45614035087719,9.55
188.0,2.2,10.45
188.0,1.0,18.35
188.0,-1,0
188.0,-1,0.05
188.0,-1,0.1
188.0,-1,0.15000000000000002
188.0,-1,0.2
188.0,-1,0.25
188.0,-1,0.30000000000000004
188.0,-1,0.35000000000000003
188.0,-1,0.4
188.0,-1,0.45
188.0,-1,0.5
188.0,-1,0.55
188.0,-1,1
188.0,-1,1.05
188.0,-1,1.1
188.0,-1,1.15
188.0,-1,1.2
188.0,-1,1.25
188.0,-1,1.3
188.0,-1,1.35
188.0,-1,1.4
188.0,-1,1.45
188.0,-1,1.5
188.0,-1,1.55
188.0,-1,2
188.0,-1,2.05
188.0,-1,2.1
188.0,-1,2.15
188.0,-1,2.2
188.0,-1,2.25
188.0,-1,2.3
188.0,-1,2.35
188.0,-1,2.4
188.0,-1,2.45
188.0,-1,2.5
188.0,-1,2.55
188.0,-1,3
188.0,-1,3.05
188.0,-1,3.1
188.0,-1,3.15
188.0,-1,3.2
188.0,-1,3.25
188.0,-1,3.3
188.0,-1,3.35
188.0,-1,3.4
188.0,-1,3.45
188.0,-1,3.5
188.0,-1,3.55
188.0,-1,4
188.0,-1,4.05
188.0,-1,4.1
188.0,-1,4.15
188.0,-1,4.2
188.0,-1,4.25
188.0,-1,4.3
188.0,-1,4.35
188.0,-1,4.4
188.0,-1,4.45
188.0,-1,4.5
188.0,-1,4.55
188.0,-1,5
188.0,-1,5.05
188.0,-1,5.1
188.0,-1,5.15
188.0,-1,5.2
188.0,-1,5.25
188.0,-1,5.3
188.0,-1,5.35
188.0,-1,5.4
188.0,-1,5.45
188.0,-1,5.5
188.0,-1,5.55
188.0,-1,6
188.0,-1,6.05
188.0,-1,6.1
188.0,-1,6.15
188.0,-1,6.2
188.0,-1,6.25
188.0,-1,6.3
188.0,-1,6.35
188.0,-1,6.4
188.0,-1,6.45
188.0,-1,6.5
188.0,-1,6.55
188.0,-1,7
188.0,-1,7.05
188.0,-1,7.1
188.0,-1,7.15
188.0,-1,7.2
188.0,-1,7.25
188.0,-1,7.3
188.0,-1,7.35
188.0,-1,7.4
188.0,-1,7.45
188.0,-1,7.5
188.0,-1,7.55
188.0,-1,8
188.0,-1,8.05
188.0,-1,8.1
188.0,-1,8.15
188.0,-1,8.2
188.0,-1,8.25
188.0,-1,8.3
188.0,-1,8.35
188.0,-1,8.4
188.0,-1,8.45
188.0,-1,8.5
188.0,-1,8.55
188.0,-1,9
188.0,-1,9.05
188.0,-1,9.1
188.0,-1,9.15
188.0,-1,9.2
188.0,-1,9.25
188.0,-1,9.3
188.0,-1,9.35
188.0,-1,9.5
188.0,-1,10.3
188.0,-1,11.1
188.0,-1,11.15
188.0,-1,11.3
188.0,-1,11.35
188.0,-1,12.05
188.0,-1,12.25
188.0,-1,12.3
188.0,-1,12.35
188.0,-1,12.4
188.0,-1,12.45
188.0,-1,12.5
188.0,-1,13.2
188.0,-1,13.25
188.0,-1,13.3
188.0,-1,13.35
188.0,-1,13.4
188.0,-1,13.45
188.0,-1,13.5
188.0,-1,13.55
188.0,-1,14
188.0,-1,14.05
188.0,-1,14.1
188.0,-1,14.15
188.0,-1,14.2
188.0,-1,14.25
188.0,-1,14.3
188.0,-1,14.35
188.0,-1,14.4
188.0,-1,14.45
188.0,-1,14.5
188.0,-1,14.55
188.0,-1,15
188.0,-1,15.05
188.0,-1,15.1
188.0,-1,15.15
188.0,-1,15.2
188.0,-1,15.25
188.0,-1,15.3
188.0,-1,15.35
188.0,-1,15.4
188.0,-1,15.45
188.0,-1,15.5
188.0,-1,15.55
188.0,-1,16
188.0,-1,16.05
188.0,-1,16.1
188.0,-1,16.15
188.0,-1,16.2
188.0,-1,16.25
188.0,-1,16.3
188.0,-1,16.35
188.0,-1,16.4
188.0,-1,16.45
188.0,-1,16.5
188.0,-1,16.55
188.0,-1,17
188.0,-1,17.05
188.0,-1,17.1
188.0,-1,17.15
188.0,-1,17.2
188.0,-1,17.25
188.0,-1,17.3
188.0,-1,17.35
188.0,-1,17.4
188.0,-1,17.45
188.0,-1,17.5
188.0,-1,17.55
188.0,-1,18
188.0,-1,18.05
188.0,-1,18.1
188.0,-1,18.15
188.0,-1,18.2
188.0,-1,18.3
188.0,-1,18.45
188.0,-1,19.15
188.0,-1,19.2
188.0,-1,19.25
188.0,-1,19.3
188.0,-1,19.35
188.0,-1,19.4
188.0,-1,19.45
188.0,-1,19.5
188.0,-1,19.55
188.0,-1,20
188.0,-1,20.1
188.0,-1,20.15
188.0,-1,20.25
188.0,-1,20.3
188.0,-1,20.35
188.0,-1,20.4
188.0,-1,20.45
188.0,-1,20.5
188.0,-1,21
188.0,-1,21.05
188.0,-1,21.15
188.0,-1,21.45
188.0,-1,22
188.0,-1,22.15
188.0,-1,22.2
188.0,-1,22.25
188.0,-1,22.3
188.0,-1,22.4
188.0,-1,22.45
188.0,-1,22.5
188.0,-1,22.55
188.0,-1,23
188.0,-1,23.05
188.0,-1,23.1
188.0,-1,23.15
188.0,-1,23.2
188.0,-1,23.25
188.0,-1,23.3
188.0,-1,23.35
188.0,-1,23.4
188.0,-1,23.45
188.0,-1,23.5
188.0,-1,23.55
189.0,65.546218487395,13.2
189.0,61.6,21.4
189.0,61.4,10.35
189.0,44.3478260869565,15.1
189.0,39.6,9.25
189.0,36.2,10.3
189.0,30.6,10.2
189.0,27.6,11.05
189.0,21.8,12
189.0,21.0,10.25
189.0,20.4,9.55
189.0,20.0,17.05
189.0,19.4,12.1
189.0,19.0,20.1
189.0,16.4,9.1
189.0,16.2,21.35
189.0,14.0,9
189.0,13.4,8.55
189.0,12.2,11.55
189.0,10.8,12.15
189.0,10.4,12.2
189.0,9.4,11.1
189.0,9.4,14.45
189.0,8.8,10.45
189.0,8.8,17.15
189.0,8.6,22.45
189.0,8.0,10.4
189.0,8.0,22.55
189.0,7.8,10
189.0,7.6,14.15
189.0,7.6,15.25
189.0,6.8,13.05
189.0,6.2,9.15
189.0,6.0,11.45
189.0,6.0,12.45
189.0,5.4,21.2
189.0,4.8,9.05
189.0,4.8,14.3
189.0,4.8,19.4
189.0,4.2,15.05
189.0,4.0,11.25
189.0,3.4,13.1
189.0,3.0,12.05
189.0,3.0,14.35
189.0,2.8,21.25
189.0,2.8,21.45
189.0,2.8,22.5
189.0,2.6,12.35
189.0,2.6,12.4
189.0,1.6,11.35
189.0,1.6,15.4
189.0,0.8,11.5
189.0,0.8,14.4
189.0,0.8,15.15
189.0,0.4,15.35
189.0,-1,0
189.0,-1,0.05
189.0,-1,0.1
189.0,-1,0.15000000000000002
189.0,-1,0.2
189.0,-1,0.25
189.0,-1,0.30000000000000004
189.0,-1,0.35000000000000003
189.0,-1,0.4
189.0,-1,0.45
189.0,-1,0.5
189.0,-1,0.55
189.0,-1,1
189.0,-1,1.05
189.0,-1,1.1
189.0,-1,1.15
189.0,-1,1.2
189.0,-1,1.25
189.0,-1,1.3
189.0,-1,1.35
189.0,-1,1.4
189.0,-1,1.45
189.0,-1,1.5
189.0,-1,1.55
189.0,-1,2
189.0,-1,2.05
189.0,-1,2.1
189.0,-1,2.15
189.0,-1,2.2
189.0,-1,2.25
189.0,-1,2.3
189.0,-1,2.35
189.0,-1,2.4
189.0,-1,2.45
189.0,-1,2.5
189.0,-1,2.55
189.0,-1,3
189.0,-1,3.05
189.0,-1,3.1
189.0,-1,3.15
189.0,-1,3.2
189.0,-1,3.25
189.0,-1,3.3
189.0,-1,3.35
189.0,-1,3.4
189.0,-1,3.45
189.0,-1,3.5
189.0,-1,3.55
189.0,-1,4
189.0,-1,4.05
189.0,-1,4.1
189.0,-1,4.15
189.0,-1,4.2
189.0,-1,4.25
189.0,-1,4.3
189.0,-1,4.35
189.0,-1,4.4
189.0,-1,4.45
189.0,-1,4.5
189.0,-1,4.55
189.0,-1,5
189.0,-1,5.05
189.0,-1,5.1
189.0,-1,5.15
189.0,-1,5.2
189.0,-1,5.25
189.0,-1,5.3
189.0,-1,5.35
189.0,-1,5.4
189.0,-1,5.45
189.0,-1,5.5
189.0,-1,5.55
189.0,-1,6
189.0,-1,6.05
189.0,-1,6.1
189.0,-1,6.15
189.0,-1,6.2
189.0,-1,6.25
189.0,-1,6.3
189.0,-1,6.35
189.0,-1,6.4
189.0,-1,6.45
189.0,-1,6.5
189.0,-1,6.55
189.0,-1,7
189.0,-1,7.05
189.0,-1,7.1
189.0,-1,7.15
189.0,-1,7.2
189.0,-1,7.25
189.0,-1,7.3
189.0,-1,7.35
189.0,-1,7.4
189.0,-1,7.45
189.0,-1,7.5
189.0,-1,7.55
189.0,-1,8
189.0,-1,8.05
189.0,-1,8.1
189.0,-1,8.15
189.0,-1,8.2
189.0,-1,8.25
189.0,-1,8.3
189.0,-1,8.35
189.0,-1,8.4
189.0,-1,8.45
189.0,-1,8.5
189.0,-1,9.2
189.0,-1,9.3
189.0,-1,9.35
189.0,-1,9.4
189.0,-1,9.45
189.0,-1,9.5
189.0,-1,10.05
189.0,-1,10.1
189.0,-1,10.15
189.0,-1,10.5
189.0,-1,10.55
189.0,-1,11
189.0,-1,11.15
189.0,-1,11.2
189.0,-1,11.3
189.0,-1,11.4
189.0,-1,12.25
189.0,-1,12.3
189.0,-1,12.5
189.0,-1,12.55
189.0,-1,13
189.0,-1,13.15
189.0,-1,13.25
189.0,-1,13.3
189.0,-1,13.35
189.0,-1,13.4
189.0,-1,13.45
189.0,-1,13.5
189.0,-1,13.55
189.0,-1,14
189.0,-1,14.05
189.0,-1,14.1
189.0,-1,14.2
189.0,-1,14.25
189.0,-1,14.5
189.0,-1,14.55
189.0,-1,15
189.0,-1,15.2
189.0,-1,15.3
189.0,-1,15.45
189.0,-1,15.5
189.0,-1,15.55
189.0,-1,16
189.0,-1,16.05
189.0,-1,16.1
189.0,-1,16.15
189.0,-1,16.2
189.0,-1,16.25
189.0,-1,16.3
189.0,-1,16.35
189.0,-1,16.4
189.0,-1,16.45
