SUBJECT,unclean_mean_awc,unclean_sd_awc,unclean_mean_ctc,unclean_sd_ctc,unclean_mean_cvc,unclean_sd_cvc,clean_mean_awc,clean_sd_awc,clean_mean_ctc,clean_sd_ctc,clean_mean_cvc,clean_sd_cvc
11003,124.93193717277487,140.7030115112426,3.256544502617801,4.081040450006351,7.947643979057592,9.882860346603948,186.1171875,134.78560526741404,4.8515625,4.139477398165288,11.828125,10.00166078728613
11009,172.65269461077844,201.46448543924,6.125748502994012,7.05843052345495,18.461077844311376,15.59531459719457,252.0625,201.20874738073024,8.866071428571429,7.058948107986656,24.366071428571427,13.457303543485919
11011,72.8409090909091,105.58900228052826,2.1875,3.7422777632269435,9.818181818181818,16.157825493404882,110.23275862068965,113.2462002632449,3.3189655172413794,4.186103590257391,14.879310344827585,17.929405127217468
11014,80.41436464088397,118.28623294205397,3.3314917127071824,5.3177430975292355,8.204419889502763,11.27372472809832,143.3877551020408,129.80799720039025,6.153061224489796,5.910591647633839,15.091836734693878,11.455954859646818
11035,177.32298136645963,144.74791028217265,5.130434782608695,5.091819953099541,14.472049689440993,13.69583062094138,203.74285714285713,136.84299523284335,5.878571428571429,5.048638048616715,15.635714285714286,13.249792024585084
11036,94.59067357512953,120.23450747420546,5,6.239157261468358,17.305699481865286,19.661055484469422,164.45045045045046,116.79747341124205,8.693693693693694,5.961684924724481,30.01801801801802,17.049650480012236
11037,168.7388535031847,157.51052657117367,3.0127388535031847,3.48621325153977,8.980891719745223,10.939502249012472,197.3955223880597,153.1221940007056,3.529850746268657,3.52369060308615,10.462686567164178,11.171699419338976
11070,151.8562874251497,166.3231096770373,3.4191616766467066,3.7965255855710978,9.74251497005988,10.978601350478408,187.65185185185186,165.92604531899678,4.229629629629629,3.795009961524575,11.992592592592592,11.067295033010817
11136,93.22279792746114,132.3134972740152,5.787564766839378,8.7107124407968,13.487046632124352,19.392091603357862,167.8785046728972,138.12816787320048,10.439252336448599,9.403108247741514,24.327102803738317,20.37051869965773
11141,83.51428571428572,98.68345481833218,4.0928571428571425,4.333069141022777,18.34285714285714,16.689190672503745,99.85470085470085,100.1484471411336,4.897435897435898,4.303936881396507,21.94017094017094,15.946727368448705
11200,19.050314465408807,30.007551526818425,1.270440251572327,2.427911366261172,11.578616352201259,17.314800739704754,35.55844155844156,34.58151830191408,2.324675324675325,2.8071410744064784,21.25974025974026,19.530275146553066
11327,96.4258064516129,101.10974803590588,3.8,4.594463070815882,9.935483870967742,10.109579756288792,118.34920634920636,100.00562523860886,4.674603174603175,4.678169496851289,12.134920634920634,9.98507139652245
11417,124.36269430051813,150.38998975232008,5.274611398963731,6.644407734710274,16.849740932642487,19.01954073104907,178.5820895522388,151.50777535358844,7.582089552238806,6.794843807466067,24.01492537313433,18.688979935968163
11611,82.27950310559007,123.6702374856277,3.3540372670807455,4.950265065994192,12.329192546583851,13.805694657239965,112.01694915254237,132.56606049072886,4.576271186440678,5.279223556710474,16.796610169491526,13.610302358550957
11655,81.5440414507772,127.46612858192933,1.7253886010362693,3.033189324524774,5.626943005181347,9.084424598928084,122.953125,139.39819243142864,2.6015625,3.4075872817401414,8.484375,10.016509501738877
11743,125.42276422764228,113.92404775933036,4.642276422764228,4.65908258277615,11.170731707317072,9.392800972870319,131.16346153846155,105.5856630618575,5.4423076923076925,4.629636323398475,13.096153846153847,8.947006041258447
12095,56.07878787878788,83.32927543704713,1.593939393939394,2.5372756892253108,5.406060606060606,7.580379816805766,92.3855421686747,97.04862137286237,2.4819277108433737,2.8981131194705174,8.91566265060241,8.18118725249687
12297,81.81656804733728,96.97002831046584,3.195266272189349,4.291850120686765,12.52662721893491,13.904035509073905,101.46031746031746,98.26272137844755,4.23015873015873,4.5204649290314345,16.476190476190474,14.037500795064219
12316,105.76683937823834,123.62263032300872,6.507772020725389,7.252958570892852,15.906735751295336,16.23145115128909,171.109243697479,116.74147810628452,10.546218487394958,6.533807646283932,25.537815126050422,13.395414036892225
12390,123.17098445595855,189.4844617298385,2.8031088082901556,3.821892892922837,7.424870466321243,8.49545240535637,173.11029411764707,205.78912877719225,3.9558823529411766,4.0219170793869,10.441176470588236,8.436924756474081
12398,95.36269430051813,128.2488753077505,4.518134715025907,5.153976280755536,18.678756476683937,18.308707357764572,137.3507462686567,133.91677684196125,6.507462686567164,5.030353383985083,26.79850746268657,16.315857801559066
12409,73.90625,93.59521602812178,2.7916666666666665,3.9204569310213087,10.807291666666666,15.245610438834683,114.1311475409836,96.22949074780225,4.39344262295082,4.143215856937282,16.918032786885245,16.219868524160884
12417,64.65803108808291,91.03111390171236,1.2435233160621761,2.1979564421500593,4.932642487046632,7.261529751716263,110.89090909090909,96.65870587373038,2.172727272727273,2.544499701763963,8.6,7.822808336858916
12520,109.61139896373057,145.7816549194498,2.709844559585492,4.6958266574210095,5.891191709844559,9.310812214477545,195.87962962962962,145.1855221530446,4.842592592592593,5.398445669408195,10.527777777777779,10.309652797741
12547,121.860103626943,149.3578829592618,4.3782383419689115,5.250688745018496,11.49740932642487,12.32592303521813,188.1048387096774,148.8960907144814,6.798387096774194,5.146598590544038,17.451612903225808,11.566952391243579
12608,96.31088082901555,121.06672891319454,4.647668393782383,5.592983630359076,18.139896373056995,19.754907459646716,131.4,125.27143478902411,6.385714285714286,5.666493357283654,24.92142857142857,19.242514327829713
12612,70.80405405405405,97.22718040395485,5.5608108108108105,7.377319860064728,26.91891891891892,24.63295550238535,85.97520661157024,101.44747925321731,6.776859504132231,7.643611279259939,32.85123966942149,23.417821261105395
12683,125.44041450777202,136.4708753415686,4.994818652849741,6.700821940663966,16.310880829015545,17.38134583610446,156.1891891891892,140.0885216423414,6.445945945945946,7.028884801167159,21.14864864864865,17.122752045661617
12717,79.55284552845528,116.8109165157368,2.6341463414634148,3.450512655384126,12.05691056910569,14.254306690598511,123.39189189189189,129.2353505190007,4.297297297297297,3.5179762618438324,19.716216216216218,13.690833119801512
12737,39.97422680412371,87.14150457357997,1.9381443298969072,3.7480618355494615,10.288659793814434,15.687002482922098,92.7439024390244,114.78275895135206,4.573170731707317,4.613534805611591,22.9390243902439,16.591197696722904
12828,124.24342105263158,130.6968078629692,7.526315789473684,8.456313420624173,27.980263157894736,23.952621666500335,136.79710144927537,130.77987073734712,8.289855072463768,8.511223074683091,30.797101449275363,23.35638190042893
12830,88.80310880829016,117.22086787464497,3.3523316062176165,5.047710625237075,8.746113989637307,12.298068866334477,142.84873949579833,120.46278268041763,5.4033613445378155,5.500877168466943,13.974789915966387,13.154532752896095
