SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
310,12,0,9,39,0,0
310,9.45,9,5,11,0,0
310,9.5,14,300,25,0,1
310,9.55,314,300,121,0,4
310,10,614,300,310,10,15
310,10.05,914,300,230,5,6
310,10.1,1214,300,108,4,11
310,10.15,1514,300,23,2,11
310,10.2,1814,300,167,2,9
310,10.25,2114,300,118,0,3
310,10.3,2414,300,261,7,13
310,10.35,2714,300,398,14,20
310,10.4,3014,300,174,6,18
310,10.45,3314,300,174,4,10
310,10.5,3614,300,267,7,18
310,10.55,3914,300,153,4,8
310,11,4214,300,98,2,9
310,11.05,4514,300,274,14,26
310,11.1,4814,300,257,12,21
310,11.15,5114,300,195,7,15
310,11.2,5414,300,232,4,10
310,11.25,5714,300,145,13,40
310,11.3,6014,300,114,12,42
310,11.35,6314,300,509,6,14
310,11.4,6614,300,109,0,1
310,11.45,6914,300,292,10,12
310,11.5,7214,300,144,4,6
310,11.55,7514,300,189,4,10
310,12,7814,300,56,3,14
310,12.05,8114,300,20,2,12
310,12.1,8414,300,78,3,7
310,12.15,8714,300,190,5,24
310,12.2,9014,300,178,8,22
310,12.25,9314,300,0,0,9
310,12.3,9614,300,184,2,4
310,12.35,9914,300,191,10,17
310,12.4,10214,300,71,1,5
310,12.45,10514,300,238,2,7
310,12.5,10814,300,196,5,18
310,12.55,11114,300,77,5,17
310,13,11414,196,110,0,0
310,9.4,11610,205,228,6,7
310,9.45,11815,300,528,4,5
310,9.5,12115,300,260,5,15
310,9.55,12415,300,71,6,24
310,10,12715,300,54,0,1
310,10.05,13015,300,274,4,4
310,10.1,13315,300,364,7,17
310,10.15,13615,300,271,10,30
310,10.2,13915,300,60,2,8
310,10.25,14215,300,37,2,6
310,10.3,14515,300,54,1,9
310,10.35,14815,300,120,4,20
310,10.4,15115,300,314,11,16
310,10.45,15415,300,87,4,4
310,10.5,15715,300,3,0,3
310,10.55,16015,300,290,12,41
310,11,16315,300,38,1,5
310,11.05,16615,300,53,4,11
310,11.1,16915,300,65,1,7
310,11.15,17215,300,214,7,15
310,11.2,17515,300,258,5,13
310,11.25,17815,300,207,3,4
310,11.3,18115,300,89,3,8
310,11.35,18415,300,9,1,11
310,11.4,18715,300,7,1,11
310,11.45,19015,300,19,0,0
310,11.5,19315,300,39,0,2
310,11.55,19615,300,32,0,0
310,12,19915,300,45,0,3
310,12.05,20215,300,75,1,4
310,12.1,20515,300,99,1,7
310,12.15,20815,300,62,1,6
310,12.2,21115,300,67,1,1
310,12.25,21415,300,141,5,10
310,12.3,21715,300,93,2,2
310,15.4,33115,300,258,7,11
310,15.45,33415,300,241,5,10
310,15.5,33715,300,209,5,5
310,15.55,34015,300,0,0,3
310,16,34315,300,27,2,5
310,16.05,34615,300,55,0,1
310,16.1,34915,300,169,3,13
310,16.15,35215,300,86,1,7
310,16.2,35515,300,76,6,20
310,16.25,35815,300,114,4,6
310,16.3,36115,300,137,3,6
310,16.35,36415,300,56,1,9
310,16.4,36715,300,216,6,11
310,16.45,37015,300,91,4,6
310,16.5,37315,300,55,1,7
310,16.55,37615,300,0,0,4
310,17,37915,300,9,0,1
310,17.05,38215,300,24,0,1
310,17.1,38515,300,19,1,5
310,17.15,38815,300,145,5,15
310,17.2,39115,300,251,7,12
310,17.25,39415,300,22,3,9
310,17.3,39715,300,65,4,9
310,17.35,40015,300,28,2,14
310,17.4,40315,300,74,1,7
310,17.45,40615,300,30,0,10
310,17.5,40915,300,64,5,12
310,17.55,41215,300,24,2,21
310,18,41515,300,77,6,15
310,18.05,41815,300,13,1,6
310,18.1,42115,300,92,1,12
310,18.15,42415,300,271,8,14
310,18.2,42715,300,313,6,8
310,18.25,43015,300,217,9,21
310,18.3,43315,300,139,7,17
310,18.35,43615,300,86,3,16
310,18.4,43915,300,54,0,1
310,18.45,44215,300,0,0,2
310,18.5,44515,300,20,2,3
310,18.55,44815,300,13,1,1
310,19,45115,300,28,1,3
310,19.05,45415,300,203,6,12
310,19.1,45715,300,72,5,15
310,19.15,46015,300,108,3,5
310,19.2,46315,300,163,5,8
310,19.25,46615,300,156,3,7
310,19.3,46915,300,23,1,6
310,19.35,47215,300,9,0,2
310,19.4,47515,300,7,0,2
310,19.45,47815,300,65,2,5
310,19.5,48115,300,15,1,30
310,19.55,48415,300,265,8,15
310,20,48715,300,154,2,4
310,20.05,49015,300,79,1,3
310,20.1,49315,300,35,4,18
310,20.15,49615,300,162,0,7
310,20.2,49915,300,190,2,5
310,20.25,50215,300,125,4,8
310,20.3,50515,300,111,6,10
310,20.35,50815,300,12,0,8
310,20.4,51115,300,39,0,13
310,20.45,51415,300,74,2,8
310,20.5,51715,300,22,1,1
310,20.55,52015,300,25,0,18
310,21,52315,300,59,2,7
310,21.05,52615,300,269,1,2
310,21.1,52915,117,77,0,0
