SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
230,8.55,31,300,176,10,22
230,9,331,300,84,6,16
230,9.05,631,300,71,3,5
230,9.1,931,300,0,0,2
230,9.15,1231,300,96,1,4
230,9.2,1531,300,47,0,11
230,9.25,1831,300,161,4,13
230,9.3,2131,300,40,1,1
230,9.35,2431,300,167,9,13
230,9.4,2731,300,201,4,7
230,9.45,3031,300,227,11,18
230,9.5,3331,300,36,1,5
230,9.55,3631,300,27,2,17
230,10,3931,300,12,0,1
230,10.05,4231,300,79,4,16
230,10.1,4531,300,14,1,6
230,10.15,4831,300,23,4,15
230,10.2,5131,300,13,0,3
230,10.25,5431,300,11,2,6
230,10.3,5731,300,12,2,52
230,10.35,6031,300,40,2,37
230,10.4,6331,300,1,0,5
230,10.45,6631,300,91,2,15
230,10.5,6931,300,90,0,5
230,10.55,7231,300,7,1,12
230,11,7531,300,21,0,4
230,11.05,7831,300,2,1,20
230,11.1,8131,300,101,3,3
230,11.15,8431,300,64,2,12
230,11.2,8731,300,32,0,18
230,11.25,9031,300,62,2,5
230,12.45,13831,300,41,1,2
230,12.5,14131,300,178,1,2
230,12.55,14431,300,147,6,13
230,13,14731,300,89,4,10
230,13.05,15031,300,186,7,21
230,13.1,15331,300,94,9,39
230,13.15,15631,300,26,2,31
230,13.2,15931,300,206,12,32
230,13.25,16231,300,68,3,23
230,13.3,16531,300,33,0,5
230,13.35,16831,300,61,1,10
230,13.4,17131,300,136,2,2
230,13.45,17431,300,61,2,15
230,13.5,17731,300,35,5,15
230,13.55,18031,300,32,1,5
230,14,18331,300,177,6,12
230,14.05,18631,300,23,1,35
230,14.2,19531,300,42,3,12
230,14.25,19831,300,103,3,30
230,14.3,20131,300,34,2,17
230,14.35,20431,300,14,0,11
230,14.4,20731,300,35,1,48
230,14.45,21031,300,73,4,23
230,14.5,21331,300,87,3,14
230,14.55,21631,300,97,6,25
230,15,21931,300,78,2,4
230,15.05,22231,300,107,2,7
230,15.4,24331,300,199,2,5
230,15.45,24631,300,177,1,8
230,15.5,24931,300,68,0,4
230,15.55,25231,300,90,2,8
230,16,25531,300,123,4,6
230,17.3,30931,300,176,3,5
230,17.35,31231,300,138,10,29
230,17.4,31531,300,19,0,4
230,17.45,31831,300,124,4,12
230,17.5,32131,300,189,2,4
230,17.55,32431,300,193,7,10
230,18,32731,300,83,0,3
230,18.05,33031,300,119,3,5
230,18.1,33331,300,104,5,50
230,18.15,33631,300,152,3,11
230,18.2,33931,300,174,5,13
230,18.25,34231,300,0,0,13
230,18.3,34531,300,89,3,6
230,18.35,34831,300,77,2,9
230,18.4,35131,300,107,3,20
230,18.45,35431,300,30,1,7
230,18.5,35731,300,173,5,15
230,18.55,36031,300,66,2,7
230,19,36331,300,51,3,10
230,19.05,36631,164,81,4,5
