SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
189,13.2,10,119,130,5,6
189,13.25,129,300,200,2,9
189,13.3,429,300,144,4,14
189,13.35,729,300,42,1,11
189,13.4,1029,300,146,4,11
189,13.45,1329,300,299,0,3
189,13.5,1629,300,111,0,5
189,13.55,1929,300,70,0,9
189,14,2229,300,160,3,8
189,14.05,2529,300,42,1,6
189,14.1,2829,300,189,3,5
189,14.15,3129,300,38,0,1
189,14.2,3429,300,67,4,9
189,14.25,3729,300,59,5,20
189,14.3,4029,300,24,3,20
189,14.35,4329,300,15,1,17
189,14.4,4629,300,4,1,13
189,14.45,4929,300,47,5,18
189,14.5,5229,300,48,1,4
189,14.55,5529,300,23,1,17
189,15,5829,300,11,0,13
189,15.15,6729,300,4,2,21
189,15.2,7029,300,6,2,16
189,15.25,7329,300,38,2,10
189,15.3,7629,300,57,6,29
189,15.35,7929,300,2,1,37
189,15.4,8229,300,8,1,29
189,15.45,8529,300,3,0,16
189,15.5,8829,300,10,1,19
189,15.55,9129,300,0,0,42
189,16,9429,300,9,1,18
189,16.05,9729,300,36,2,19
189,16.1,10029,300,106,5,21
189,16.15,10329,300,305,3,6
189,16.2,10629,300,599,4,4
189,16.25,10929,300,570,6,10
189,16.3,11229,300,383,7,8
189,16.35,11529,300,83,1,4
189,16.4,11829,300,91,1,11
189,16.45,12129,300,41,2,14
189,16.5,12429,300,48,1,8
189,16.55,12729,300,23,0,12
189,17,13029,300,56,1,3
189,17.05,13329,300,100,11,33
189,17.1,13629,300,19,2,9
189,17.15,13929,300,44,2,15
189,19.4,22629,300,24,0,2
189,19.45,22929,300,189,3,4
189,19.5,23229,300,459,2,5
189,19.55,23529,300,218,0,0
189,20,23829,300,70,2,4
189,20.05,24129,300,71,3,16
189,20.1,24429,300,95,10,40
189,20.15,24729,300,68,4,28
189,20.2,25029,300,539,3,5
189,20.25,25329,300,208,8,14
189,20.3,25629,300,195,7,16
189,20.35,25929,300,79,4,11
189,20.4,26229,300,20,0,12
189,20.45,26529,300,134,1,6
189,20.5,26829,300,90,4,10
189,20.55,27129,300,395,9,14
189,21,27429,300,291,2,6
189,21.05,27729,300,5,0,6
189,21.1,28029,300,39,3,12
189,21.15,28329,300,2,0,16
189,21.2,28629,300,27,2,18
189,21.25,28929,300,14,0,7
189,21.3,29229,300,0,0,6
189,21.35,29529,300,81,2,3
189,21.4,29829,300,308,17,35
189,21.45,30129,300,14,1,2
189,22.45,33729,300,43,0,5
189,22.5,34029,300,14,2,11
189,22.55,34329,300,40,2,17
189,23,34629,222,0,0,0
189,8.5,34851,134,47,2,6
189,8.55,34985,300,67,7,28
189,9,35285,300,70,8,19
189,9.05,35585,300,24,5,35
189,9.1,35885,300,82,7,22
189,9.15,36185,300,31,1,11
189,9.2,36485,300,171,6,21
189,9.25,36785,300,198,11,29
189,9.3,37085,300,190,13,31
189,9.35,37385,300,185,8,16
189,9.4,37685,300,10,2,21
189,9.45,37985,300,0,0,24
189,9.5,38285,300,81,4,22
189,9.55,38585,300,102,5,26
189,10,38885,300,39,2,37
189,10.05,39185,300,54,1,34
189,10.1,39485,300,133,8,27
189,10.15,39785,300,423,3,8
189,10.2,40085,300,153,7,16
189,10.25,40385,300,105,8,39
189,10.3,40685,300,181,12,32
189,10.35,40985,300,307,21,33
189,10.4,41285,300,40,3,15
189,10.45,41585,300,44,2,13
189,10.5,41885,300,100,3,16
189,10.55,42185,300,73,7,23
189,11,42485,300,116,3,16
189,11.05,42785,300,138,6,31
189,11.1,43085,300,47,5,29
189,11.15,43385,300,26,2,38
189,11.2,43685,300,46,1,15
189,11.25,43985,300,20,0,3
189,11.3,44285,300,90,0,3
189,11.35,44585,300,8,1,10
189,11.4,44885,300,28,1,47
189,11.45,45185,300,30,2,35
189,11.5,45485,300,4,0,7
189,11.55,45785,300,61,5,14
189,12,46085,300,109,4,10
189,12.05,46385,300,15,1,9
189,12.1,46685,300,97,5,16
189,12.15,46985,300,54,4,23
189,12.2,47285,300,52,0,10
189,12.25,47585,300,40,2,9
189,12.3,47885,300,132,4,8
189,12.35,48185,300,13,1,6
189,12.4,48485,300,13,1,14
189,12.45,48785,300,30,2,26
189,12.5,49085,300,164,2,8
189,12.55,49385,300,93,0,2
189,13,49685,300,104,0,1
189,13.05,49985,300,34,4,15
189,13.1,50285,300,17,2,6
189,15.05,57185,300,21,1,10
189,15.1,57485,115,85,4,9
