SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
312,14.1,0,8,28,0,0
312,21.45,8,294,151,9,28
312,21.5,302,300,216,19,38
312,21.55,602,300,94,8,37
312,22,902,300,101,8,19
312,22.05,1202,300,145,9,17
312,22.1,1502,300,513,8,11
312,22.15,1802,300,135,9,20
312,22.2,2102,300,29,1,26
312,22.25,2402,300,138,8,20
312,22.3,2702,300,31,2,6
312,22.35,3002,300,51,4,27
312,22.4,3302,111,12,2,18
312,13.2,3413,57,11,0,0
312,13.25,3470,300,181,8,20
312,13.3,3770,300,90,3,9
312,13.35,4070,300,37,1,2
312,13.4,4370,300,140,8,17
312,13.45,4670,300,16,2,6
312,13.5,4970,300,44,0,1
312,13.55,5270,300,140,5,11
312,14,5570,300,97,3,9
312,14.05,5870,300,8,0,3
312,14.1,6170,300,0,0,1
312,14.15,6470,300,6,0,2
312,14.45,8270,300,12,0,0
312,14.5,8570,300,25,3,10
312,14.55,8870,300,4,0,1
312,15,9170,300,25,2,7
312,15.05,9470,300,169,8,20
312,15.1,9770,300,11,1,12
312,15.15,10070,300,20,3,18
312,15.2,10370,300,5,0,4
312,15.25,10670,300,50,1,4
312,15.3,10970,300,3,1,5
312,15.35,11270,300,7,1,3
312,15.4,11570,300,25,1,9
312,17.25,12371,300,12,1,2
312,17.3,12671,300,27,1,1
312,17.35,12971,300,44,2,3
312,17.4,13271,300,124,1,2
312,17.45,13571,300,38,0,3
312,17.5,13871,300,84,1,2
312,17.55,14171,282,150,4,5
312,10.3,14453,37,0,0,0
312,10.35,14490,300,32,2,13
312,10.4,14790,300,59,6,53
312,10.45,15090,300,8,1,29
312,10.5,15390,300,49,4,31
312,10.55,15690,300,8,0,6
312,11,15990,300,5,0,6
312,11.05,16290,300,0,0,4
312,11.1,16590,300,51,2,5
312,11.15,16890,300,4,1,9
312,11.2,17190,300,46,6,24
312,11.25,17490,300,209,7,9
312,11.3,17790,300,196,9,22
312,11.35,18090,300,242,7,13
312,11.4,18390,300,161,4,12
312,11.45,18690,295,181,10,19
