SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
309,11.35,0,8,30,0,0
309,9.45,8,181,52,3,25
309,9.5,189,300,109,12,32
309,9.55,489,300,204,17,58
309,10,789,300,29,5,34
309,10.05,1089,300,108,2,3
309,10.1,1389,300,63,8,26
309,10.15,1689,300,9,0,6
309,10.45,3489,300,8,1,16
309,10.5,3789,300,23,2,3
309,10.55,4089,300,47,2,7
309,11,4389,300,30,2,8
309,11.05,4689,300,69,6,20
309,11.1,4989,300,18,4,22
309,11.15,5289,300,84,9,42
309,11.2,5589,300,154,9,34
309,11.25,5889,300,111,9,51
309,11.3,6189,300,88,6,11
309,11.35,6489,300,112,12,32
309,11.4,6789,300,162,2,14
309,11.45,7089,300,66,3,19
309,11.5,7389,300,92,3,18
309,11.55,7689,300,98,7,24
309,12.1,8589,300,60,7,20
309,12.15,8889,300,0,0,2
309,12.2,9189,300,38,1,12
309,12.25,9489,300,0,0,4
309,12.3,9789,300,15,0,2
309,12.35,10089,300,7,0,0
309,12.4,10389,300,19,1,10
309,12.45,10689,300,25,0,2
309,12.5,10989,300,52,0,1
309,12.55,11289,300,24,1,8
309,13,11589,300,40,0,0
309,13.05,11889,300,53,6,24
309,13.1,12189,300,124,9,27
309,13.15,12489,300,107,1,37
309,13.2,12789,300,27,2,2
309,13.25,13089,300,9,1,6
309,13.3,13389,300,18,2,4
309,14.05,15489,300,107,9,33
309,14.1,15789,300,81,2,10
309,14.15,16089,300,7,1,3
309,14.2,16389,300,17,3,17
309,14.25,16689,300,15,3,65
309,14.3,16989,300,114,8,39
309,14.35,17289,300,26,2,12
309,14.4,17589,300,8,2,27
309,14.45,17889,300,0,0,3
309,14.5,18189,300,15,1,14
309,14.55,18489,300,17,2,14
309,15,18789,300,7,1,6
309,15.05,19089,300,47,3,24
309,15.1,19389,300,83,5,17
309,15.15,19689,300,30,2,37
309,15.2,19989,300,122,2,14
309,15.25,20289,300,39,2,5
309,15.45,21489,300,7,1,12
309,15.5,21789,300,36,3,12
309,15.55,22089,300,167,17,74
309,16,22389,300,33,4,7
309,16.05,22689,300,0,0,13
309,16.1,22989,300,118,3,12
309,16.15,23289,300,52,5,20
309,16.2,23589,300,28,1,4
309,16.25,23889,300,79,1,13
309,16.3,24189,300,75,3,11
