SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
215,10.3,0,189,5,0,26
215,10.35,189,300,5,1,21
215,10.4,489,300,50,3,21
215,10.45,789,300,28,2,21
215,10.5,1089,300,0,0,2
215,10.55,1389,300,10,0,26
215,11.1,2289,300,31,1,20
215,11.15,2589,300,16,1,12
215,11.2,2889,300,22,2,11
215,11.25,3189,300,36,2,11
215,11.3,3489,300,71,2,11
215,11.35,3789,300,41,3,8
215,11.4,4089,300,0,0,4
215,11.45,4389,300,73,3,9
215,11.5,4689,24,0,0,1
215,13.35,4713,162,7,1,3
215,13.4,4875,300,14,2,11
215,13.45,5175,300,49,5,18
215,13.5,5475,300,2,0,2
215,13.55,5775,300,39,3,5
215,14.15,6975,300,15,1,17
215,14.2,7275,300,13,0,2
215,14.25,7575,300,0,0,4
215,14.3,7875,300,22,1,11
215,14.35,8175,300,9,0,1
215,14.4,8475,300,0,0,0
215,14.45,8775,300,4,0,0
215,14.5,9075,300,9,2,20
215,14.55,9375,300,0,0,20
215,15,9675,300,19,0,6
215,15.05,9975,231,62,3,21
215,18.5,10206,249,26,3,26
215,18.55,10455,300,25,3,29
215,19,10755,300,30,2,19
215,19.05,11055,300,34,1,24
215,19.1,11355,300,135,2,7
215,19.15,11655,300,164,7,26
215,19.2,11955,300,117,7,20
215,19.25,12255,300,50,4,33
215,19.3,12555,300,90,8,37
215,19.35,12855,300,315,4,18
215,19.4,13155,300,306,10,28
215,19.45,13455,300,56,3,14
215,19.5,13755,124,41,1,3
215,9.3,13879,88,4,0,10
215,9.35,13967,300,0,0,8
215,9.4,14267,300,4,0,13
215,9.45,14567,300,0,0,1
215,9.5,14867,300,4,0,12
215,9.55,15167,300,31,2,62
215,10,15467,300,12,0,14
215,10.05,15767,300,8,0,0
215,10.1,16067,300,12,2,8
215,10.15,16367,300,9,0,27
215,10.2,16667,300,10,2,23
215,10.25,16967,300,47,5,21
215,10.3,17267,300,38,2,20
215,10.35,17567,300,41,3,33
215,10.4,17867,300,0,1,32
215,10.45,18167,300,19,2,14
215,10.5,18467,300,16,1,29
215,10.55,18767,300,42,5,25
215,11,19067,300,9,0,12
215,11.05,19367,300,95,11,55
215,11.1,19667,106,21,0,0
215,18.1,19773,145,16,2,11
215,18.15,19918,300,73,4,21
215,18.2,20218,300,57,4,22
215,18.25,20518,300,27,2,33
215,18.3,20818,300,49,1,20
215,18.35,21118,300,59,2,9
215,18.4,21418,186,31,2,3
