SUBJECT,nclusters,avgClustersize,minClusterAWC,maxClusterAWC,avgClusterDensity,unclean_total_hrs,clean_total_hrs,unclean_mean_awc,clean_mean_awc,clean_sd_awc,clusterPerHr,avgClusterDensityPerHr,CDI,gini,avgPropDrop
187,17,1.6470588235294117,207,1122,429.94444444444446,15.263055555555557,15.2575,1758.8221376963254,1755.2679010322793,1884.0047770640074,1.1142061281337048,28.179219691590657,510,0.4628900965991811,0.043567307692307704
192,13,1.3846153846153846,161,921,361.61538461538464,12.010833333333334,11.758055555555556,1629.5288975230694,1646.5307472418435,779.9785933348467,1.105624985234709,30.75469263661756,467,0.44870048413244756,0.04428906250000001
196,16,1.5625,137,903,376.875,16.000555555555554,14.265833333333333,1283.3304399152807,1423.6812897949646,1131.3678054068496,1.1215608388340441,26.418015070973773,153,0.4744178708935251,0.05117475728155341
197,13,1.3846153846153846,54,359,157.33333333333334,16,15.083333333333334,544.6875,577.7900552486187,299.8131469380939,0.861878453038674,10.430939226519337,22,0.5759594515485487,0.040116666666666675
202,16,1.375,66,241,128.57894736842104,13.366111111111111,10.949444444444444,558.8012801862089,657.7502663757674,488.47198362636806,1.4612613526815161,11.742965409871525,0,0.5808896357116333,0.04687628865979382
203,8,1.5,215,846,381,6.5024999999999995,6.5024999999999995,1560.169165705498,1560.169165705498,548.4139306087276,1.2302960399846214,58.59284890426759,233,0.421292478232366,0.05626582278481014
231,12,1.5833333333333333,217,1123,499.5833333333333,11.511944444444444,9.759722222222223,1607.0265183505055,1889.7054219439303,1062.3969271271594,1.2295431905507328,51.18827380105308,528,0.5109250945830293,0.04269642857142858
232,12,1.4166666666666667,109,556,249,11.388333333333334,9.708333333333334,872.384018732621,1007.6909871244635,531.216311149017,1.2360515021459226,25.648068669527895,218,0.49740566823060517,0.042456896551724146
248,3,2,259,321,292.6666666666667,6.194444444444445,5.194444444444445,1033.3452914798206,1149.6898395721926,572.9323487031223,0.5775401069518716,56.342245989304814,88,0.3887569068171393,0.06264705882352942
259,9,1.7777777777777777,81,522,259.3333333333333,8.391111111111112,7.974444444444444,722.7886652542372,758.5481398913196,475.0594603932132,1.1286052668245785,32.52055176257489,34,0.5189370970264553,0.050567010309278355
260,8,1.375,52,361,157.375,10.726666666666667,7.982777777777778,419.04909881914233,499.82601433641867,210.01103867091453,1.0021574222284084,19.714315540399472,607,0.5739916788360883,0.04696190476190477
261,7,1.7142857142857142,102,895,338.2857142857143,9.401944444444444,6.543333333333333,577.4337459745325,790.4228222109017,408.0004901957839,1.0697911360163017,51.69929408340005,124,0.5807806387792466,0.0643896103896104
300,11,1.7272727272727273,134,895,394.54545454545456,10.026111111111112,9.924166666666666,1349.7755859699673,1338.0468553195062,606.6698189548985,1.1084054076748677,39.7560286719746,239,0.44186278556551223,0.03928813559322035
304,6,1.6666666666666667,186,731,414.8333333333333,7.463611111111111,6.713611111111111,1708.1543786519783,1898.9780297074767,966.1358830125524,0.8937068145144608,61.78989614795813,435,0.3867457799080867,0.045962962962962976
308,4,2,339,1294,653.5,9.13888888888889,7.972222222222222,1287.5744680851062,1464.2090592334494,1001.103951756371,0.5017421602787456,81.97212543554006,94,0.5469949592771868,0.06001041666666668
309,7,1.5714285714285714,98,461,197.71428571428572,6.934444444444444,5.469166666666666,536.1640762698286,679.0796891665398,276.75866227248815,1.2799024836202957,36.15071504756101,293,0.46482450345743137,0.057532258064516145
310,16,1.625,191,801,361.57894736842104,13.731111111111112,11.647777777777778,1301.4970059880238,1523.0372984832586,1264.3111910755151,1.3736525803682151,31.042740878715914,115,0.4540598067941331,0.046048076923076935
311,8,1.625,216,1251,505.625,9.762777777777778,9.096111111111112,1770.2953394411882,1898.283759848531,624.7197917321158,0.8794967324253343,55.586941916569955,379,0.46656826484365105,0.04123584905660379
312,6,1.5,101,377,244.66666666666666,5.273611111111111,4.717777777777778,853.3052409797208,953.8389072067828,384.3369057778047,1.2717852096090436,51.86057465850212,102,0.566385184430005,0.08296363636363636
330,4,2.25,112,706,347.25,4.600555555555555,4.600555555555555,1060.524091293322,1060.524091293322,419.8257575074053,0.8694602101195509,75.4800144910035,26,0.34721996410794753,0.06991228070175438
332,3,2,173,845,410.3333333333333,6.004722222222222,4.878333333333334,721.9318129250128,885.7533310556884,310.05468027737425,0.6149641270925862,84.11342671677484,132,0.5027555604477573,0.07959649122807018
334,7,1.8571428571428572,143,1183,527.4285714285714,10.276666666666667,10.272777777777778,1427.1164450210833,1423.8602563409227,1142.6554240810385,0.6814125790925315,51.342351877747475,210,0.5366539338291981,0.04277868852459017
335,8,1.5,192,750,414,10.903611111111111,10.235,1819.9475199347821,1928.0898876404494,1030.7875629827904,0.7816316560820714,40.449438202247194,92,0.42228194966664,0.036718750000000015
421,1,4,810,810,810,8.73,5.8966666666666665,1065.4066437571591,1576.9926512153759,938.6095449002091,0.1695873374788016,137.36574335782927,399,0.5865131849541043,0.08220000000000001
426,4,2,166,697,370.75,6.980833333333334,5.985833333333334,1130.237555210696,1117.304747320061,497.0961390199801,0.668244466100515,61.93790895169149,76,0.5024122801383435,0.06436231884057972
427,6,1.8333333333333333,430,1700,880.3333333333334,7.006388888888889,5.839722222222222,2502.0021409031438,2970.518004090758,1269.5486191668956,1.0274461304285782,150.7491794701042,86,0.37437654098673273,0.062186666666666675
431,10,1.7,284,1096,722.7,9.232222222222223,7.065555555555556,1954.242387772295,2541.7675735178486,1454.9939633322651,1.4153168737222832,102.28495046390942,258,0.401250522639575,0.05351111111111112
433,7,1.5714285714285714,119,618,306.14285714285717,8.245833333333334,7,874.7448206164729,998,654.9186548300822,1,43.734693877551024,351,0.5105721641237242,0.051494382022471925
435,5,1.6,133,478,287,7.1925,5.758611111111111,1002.7111574556831,1218.5229849018378,681.2640824232553,0.8682649172736482,49.83840625150741,241,0.49654059406972184,0.06970833333333333
436,3,2,179,248,203.33333333333334,7.0808333333333335,3.6641666666666666,409.27386136283394,701.1143961792131,187.81939463218382,0.8187400500341142,55.49238116897885,77,0.4473162917643567,0.0881
439,6,2,175,998,507,10.693055555555556,10.402222222222223,1357.8906351474216,1391.1450544755394,813.7699138744764,0.5767998290963469,48.73958555864131,39,0.4825562450757526,0.055198019801980205
